                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.97439,                 0.6121,                0.98045,                0.81306,                 0.7033,                0.75266,                0.45307,                 1.5181,                 1.0529,                  1.304,             0.00051904,             0.00051904,             0.00051904
                    133,                0.97336,                0.61784,                0.98665,                 0.8254,                0.67193,                0.74184,                0.44028,                 1.5106,                 1.1021,                  1.286,             0.00051604,             0.00051604,             0.00051604
                    134,                0.98933,                0.62827,                0.98405,                0.83373,                0.67974,                0.76246,                0.47152,                 1.5023,                  1.038,                 1.2909,             0.00051304,             0.00051304,             0.00051304
                    135,                0.95267,                0.61023,                0.98517,                0.79178,                0.71942,                0.76157,                0.47066,                 1.4947,                 1.0294,                 1.2912,             0.00051004,             0.00051004,             0.00051004
                    136,                0.96885,                0.61451,                0.98409,                0.76135,                0.70572,                0.74782,                0.45787,                 1.5205,                 1.0589,                 1.2947,             0.00050704,             0.00050704,             0.00050704
                    137,                0.99064,                0.62324,                0.98194,                0.81897,                0.68348,                0.76043,                0.46494,                 1.5054,                 1.0499,                 1.2956,             0.00050404,             0.00050404,             0.00050404
                    138,                0.98112,                0.61326,                0.97688,                0.83449,                0.69962,                0.76294,                0.45978,                 1.5226,                 1.0515,                 1.3042,             0.00050104,             0.00050104,             0.00050104
                    139,                0.96726,                0.60747,                0.98048,                0.79572,                0.72757,                0.76102,                0.45419,                 1.5468,                 1.0146,                 1.3212,             0.00049804,             0.00049804,             0.00049804
                    140,                0.99511,                 0.6204,                0.98748,                0.83187,                0.65601,                0.73381,                0.43026,                 1.5502,                 1.0647,                 1.3124,             0.00049504,             0.00049504,             0.00049504
                    141,                0.94297,                0.60335,                0.96844,                0.83345,                0.69447,                0.75737,                0.45721,                 1.4893,                 1.0471,                 1.2801,             0.00049204,             0.00049204,             0.00049204
                    142,                0.96353,                0.60106,                0.97872,                0.82621,                0.70897,                0.76929,                0.45862,                 1.5163,                 1.0216,                 1.2964,             0.00048904,             0.00048904,             0.00048904
